text,entity,label
But Mr Brown's former advisor Ed Balls said an examination of Tory plans for the economy showed there would be a Â£35bn difference in investment by the end of the next parliament.,the end of the,DATE
But Mr Brown's former advisor Ed Balls said an examination of Tory plans for the economy showed there would be a Â£35bn difference in investment by the end of the next parliament.,But Mr Brown's former advisor Ed Balls said an examination of Tory plans for the economy showed there would be a Â£35bn difference in investment by the end of the next parliament.,CATEGORY_TECHNOLOGY
"For the Lib Dems, David Laws said the chancellor will no doubt tell us how wonderfully the economy is doing, but that much of it is built on an increase in personal and consumer debt, which makes the economy vulnerable.",Dems,NORP
"For the Lib Dems, David Laws said the chancellor will no doubt tell us how wonderfully the economy is doing, but that much of it is built on an increase in personal and consumer debt, which makes the economy vulnerable.",David Laws,PERSON
"For the Lib Dems, David Laws said the chancellor will no doubt tell us how wonderfully the economy is doing, but that much of it is built on an increase in personal and consumer debt, which makes the economy vulnerable.","For the Lib Dems, David Laws said the chancellor will no doubt tell us how wonderfully the economy is doing, but that much of it is built on an increase in personal and consumer debt, which makes the economy vulnerable.",CATEGORY_TECHNOLOGY
"SNP leader Alex Salmond said his party would introduce a Â£2,000 grant for first-time buyers, reduce corporation tax and introduce a citizen's pension free from means testing.",SNP,ORG
"SNP leader Alex Salmond said his party would introduce a Â£2,000 grant for first-time buyers, reduce corporation tax and introduce a citizen's pension free from means testing.",Alex Salmond,PERSON
"SNP leader Alex Salmond said his party would introduce a Â£2,000 grant for first-time buyers, reduce corporation tax and introduce a citizen's pension free from means testing.","Â£2,000",NORP
"SNP leader Alex Salmond said his party would introduce a Â£2,000 grant for first-time buyers, reduce corporation tax and introduce a citizen's pension free from means testing.",first,ORDINAL
"SNP leader Alex Salmond said his party would introduce a Â£2,000 grant for first-time buyers, reduce corporation tax and introduce a citizen's pension free from means testing.","SNP leader Alex Salmond said his party would introduce a Â£2,000 grant for first-time buyers, reduce corporation tax and introduce a citizen's pension free from means testing.",CATEGORY_TECHNOLOGY
Plaid Cymru's economics spokesman Adam Price said he wanted help to get people on the housing ladder and an increase in the minimum wage to Â£5.60 an hour.,Adam Price,PERSON
Plaid Cymru's economics spokesman Adam Price said he wanted help to get people on the housing ladder and an increase in the minimum wage to Â£5.60 an hour.,Â£5.60 an hour,TIME
Plaid Cymru's economics spokesman Adam Price said he wanted help to get people on the housing ladder and an increase in the minimum wage to Â£5.60 an hour.,Plaid Cymru's economics spokesman Adam Price said he wanted help to get people on the housing ladder and an increase in the minimum wage to Â£5.60 an hour.,CATEGORY_TECHNOLOGY
